Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author
/junit-4.12-sources.jar-extract/org/junit/experimental/ParallelComputer.java,file,ParallelComputer.java,ParallelComputer,.java,2167,2014-12-04,c42b1acd4f7b0f33d4726a5b33dc6edf9c796bff,01a4dd1f650903fecebdc39ce931db17,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/categories/,directory,categories,categories,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,6,0,22250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/categories/Categories.java,file,Categories.java,Categories,.java,14352,2014-12-04,c5123fb6db0e782e25e484f065792a0109e8a264,44d6503d03f5bc455bfc5ba73d1010ec,text/html,"HTML document, ASCII text",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/categories/Category.java,file,Category.java,Category,.java,1034,2014-12-04,1f1d0287bb8b2a037f71b5f5df4c78a7c2589d62,0c0519326d2eefe1cd9516d0bce03a4f,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/categories/CategoryFilterFactory.java,file,CategoryFilterFactory.java,CategoryFilterFactory,.java,1592,2014-12-04,65c6a52706a34529b4e2d195461e7415fe49d20b,d7437a83d8d313c66bb239a5226bd190,text/plain,"ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/categories/CategoryValidator.java,file,CategoryValidator.java,CategoryValidator,.java,2184,2014-12-04,5e4ecff3e12fba0be81d53f1ceaab15c0a641166,827202332e9eb06bea47cc9442fd18a6,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/categories/ExcludeCategories.java,file,ExcludeCategories.java,ExcludeCategories,.java,1546,2014-12-04,c883c5fd720da4cd026f92af0ba5a395d071539a,710b15196ca5ae8ddab083f473bb54b9,text/plain,"ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/categories/IncludeCategories.java,file,IncludeCategories.java,IncludeCategories,.java,1542,2014-12-04,8e4a7b9869c0bd1a56c12a4f24f438fa49b0fc93,1027e0af8b2c7035c13b10d4e9af6a0e,text/plain,"ASCII text, with CRLF line terminators",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/max/,directory,max,max,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,3,0,12141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/max/CouldNotReadCoreException.java,file,CouldNotReadCoreException.java,CouldNotReadCoreException,.java,327,2014-12-04,19e4e5ad9c5acdf6b3cd28760db6c7d989ffa880,82b03e62887dbb6341f593d32ee717d7,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/max/MaxCore.java,file,MaxCore.java,MaxCore,.java,6413,2014-12-04,d07bbd59063658438a4c98133e237540f6f8b4af,f01f5c618b1221dd486170d396c14161,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/max/MaxHistory.java,file,MaxHistory.java,MaxHistory,.java,5401,2014-12-04,8b2b841221e0d245913e714adc1f49e07b20da3d,45c1c30a8dab7b6e3a1c7c2703ae4075,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/results/,directory,results,results,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,3,0,4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/org/junit/experimental/results/FailureList.java,file,FailureList.java,FailureList,.java,745,2014-12-04,9824bbafae55f618d15848b3c562b75a9817e7b9,1e566144a54d3d43870187bbe3a95609,text/x-c++,"C++ source, ASCII text",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
